question_id,category,turns,answer
1,,"A counselor intensifies a client's emotional state to show the client the irrationality of her emotional reaction.  What is this technique known as?
a. Paradoxical intention
b. Transactional-Analysis
c. Systematic Desensitization
d. Reconfiguration", a. Paradoxical intention
2,,"Despite its age, Kohlberg's Theory of Moral Development is still in widespread use. Which of the following is the final level in the theory?	
	a. Personhood	
	b. Principled thought	
	c. Self-actualization	
	d. None of the above",b. Principled thought
3,,"Which of the following interventions is not commonly used in Interpersonal Therapy (IPT)?	
	a. Discussion of patterns in a client's relationships	
	b. A detailed past history of the client	
	c. Exploration of the therapist/client relationship	
	d. The ABC Model",d. The ABC Model
4,,"Members of a counseling group that scores high in authoritarianism also tend to score high in independence.	
a.True	
b.False",b.False
5,,"If a child is learning to use abstract concepts, which of Piaget's stages is she in?	
	a. Preoperational	
	b. Sensorimotoer	
	c. Concrete	
	d. Early Adolescence",d. Early Adolescence
6,,"	If someone is thinking about committing suicide, asking them whether they are thinking about suicide will not cause them to commit suicide.	
a. True	
b. False",a. True
7,,"Under which of the following circumstances is it not okay to break patient confidentiality?	
	a. A court subpoenas the client's chart.	
	b. The client has threatened to hurt himself or someone else.	
	c. The client's employer has requested the information.	
	d. The client admits to abusing his children.", c. The client's employer has requested the information.
8,,"You are using the ABC model of cognitive therapy. Which model are you trying to promote in your clients after a negative event?	
	a. Negative Event leads to irrational belief leads to positive thought	
	b. Negative Event leads to rational belief leads to healthy negative thought	
	c. Negative Event leads to irrational belief leads to unhealthy negative thought	
	d. None of the above"," 	b. Negative Event leads to rational belief leads to healthy negative thought"
9,,"Carl Jung's Theory of Archetypes is still very influential, and several of them are listed below. Choose the one that is not correct.	
	a. The Shadow	
	b. The Hero	
	c. The Wise Old Woman	
	d. The Self-Made Person",d. The Self-Made Person
10,,"Which of the following kinds of therapy seeks to help clients find their answers to questions such as: Why am I here? Is this all there is? Why do people suffer?	
	a. Cognitive Behavioral	
	b. Holistic Health	
	c. Existential	
	d. Client Centered","	c. Existential"
11,,"13.	A client is 35. She is married, has two kids and is working on a big promotion at work. She is focused entirely on her family and career. Which of Erickson's Stages of Psychosocial Development is she in?	
	a. Intimacy vs. Isolation	
	b. Generativity vs. Stagnation	
	c. Integrity vs. Despair	
	d. Industry vs. Inferiority",b. Generativity vs. Stagnation
12,,"Crites is the researcher that first described the concept of ""career maturity.""	
	a. True	
	b. False",b.False
13,,"A dog is trained to salivate at the ringing of a bell. What form of conditioning is this?	
	a. Classical Conditioning	
	b. Operant Conditioning	
	c. Reinforcement Conditioning	
	d. None of the above",a. Classical Conditioning
14,,"All humans have a five-stage sleep cycle and all cycle through the stages in the same order. Choose the correct sequence.	
	a. Stage 1, Stage 2, Stage 3, Stage 4, Stage 5	
	b. Stage 1, Stage 2, Stage 1, Stage 3, Stage 5, Stage 4	
	c. Stage 1, Stage 2, Stage 3, Stage 4, Stage 1, Stage 2, Stage 5	
	d. Stage 1, Stage 2, Stage 3, Stage 4, Stage 3, Stage 2, Stage 5","d. Stage 1, Stage 2, Stage 3, Stage 4, Stage 3, Stage 2, Stage 5"
15,,"The ""fields and levels"" approach to group career counseling uses one of the theories developed by which famous theorist?	
	a. Jung	
	b. Roe	
	c. Holland	
	d. None of the above",b. Roe
16,,"What traits originate in the cerebral cortex?	
	a. Thought	
	b. Language	
	c. Reason	
	d. All of the above", d. All of the above
17,,"A conditioned association is not a learned association.	
	a. True	
	b. False",b. False
18,,"What type of partial reinforcement produces the best response to stimuli?	
	a. Fixed-ratio Schedules	
	b. Variable-ratio Schedules	
	c. Fixed-interval Schedules	
	d. Variable-Interval Schedules",b. Variable-ratio Schedules
19,,"The archetype of the ""Shadow"" encompasses which of the following?	
	a. All that is evil	
	b. Everything that is wrong with a person	
	c. All of the things about a person that he or she will not acknowledge	
	d. None of the above", c. All of the things about a person that he or she will not acknowledge
20,,"A counselor that decides his consultancy fee job-by-job instead of setting a standard rate is using a variable-ratio reinforcement schedule.	
	a. True	
	b. False",a.True
21,,"Some counseling methods are ""product-oriented,"" while others are ""process-oriented."" Which of the following is more interested in the product than the process?	
	a. Transactional-analysis	
	b. Client-centered	
	c. Behavioral	
	d. None of the Above","	c. Behavioral"
22,,"Which type of memory retrieval requires a person to reconstruct a memory?	
	a. Recall	
	b. Recollection	
	c. Recognition	
	d. Relearning","	b. Recollection"
23,,"Behavioral reinforcers always raise behavioral probability.	
	a. True	
	b. False",a.True
24,,"What is one of the most important hallmarks of the Formal Operations stage of cognitive development?	
	a. The ability to make rational judgments without concrete objects	
	b. The ability to reason deductively	
	c. The ability to plan for the future	
	d. All of the above",d. All of the above
25,,"What will the standard error of measurement tell you about a test?	
	a. If the test is valid.	
	b. If two sets of results are due to chance.	
	c. If the test has a normal curve.	
	d. If the test is norm-referenced.",b. If two sets of results are due to chance.
26,,"The four lobes of the human brain are each responsible for handling different tasks. Which of these lobes is responsible for processing tactile sensory information?	
	a. Occipital Lobe	
	b. Frontal Lobe	
	c. Parietal Lobe	
	d. Temporal Lobe","	c. Parietal Lobe"
27,,"Which of the following would not be a part of a standard first counseling session with a therapist who was practicing client-centered counseling?	
	a. Introduction	
	b. Note-taking	
	c. Discussion	
	d. All of the above would be included","	d. All of the above would be included"
28,,"If a counselor's role changes from a nonforensic evaluative role to a therapeutic role, the client must be informed of the change as a matter of __________________.	
	a. confidentiality	
	b. treatment	
	c. informed consent	
	d. assessment","	c. informed consent"
29,,"Who developed the technique of paradoxical intention?	
	a. Wolpe	
	b. Super	
	c. Frankl	
	d. Jung",c. Frankl
30,,"John and Carol took the same test. John got a score of 87 and Carol got a score of 73. To determine if the differences in scores is the result of chance, a counselor would need to know which of the following characteristics of the test?	
	a. Standard error of the mean	
	b. Standard deviation	
	c. Mean	
	d. Standard error of measurement",d. Standard error of measurement
31,,"Who has most extensively researched and described the concept of career maturity?	
	a. Ginzberg	
	b. Crites	
	c. Hoyt	
	d. Super","	b. Crites"
32,,"The correct order of Piaget's 4 stages is:	
	a. formal operational, preoperational, sensorimotor, concrete operational	
	b. preoperational, formal operational, concrete operational, sensorimotor	
	c. concrete operational, sensorimotor, preoperational, formal operational	
	d. sensorimotor, preoperational, concrete operational, formal operational","	d. sensorimotor, preoperational, concrete operational, formal operational"
33,,"John Bowlby is associated with:	
	a. career guidance	
	b. attachment and bonding	
	c. psychodrama	
	d. holistic counseling	",b. attachment and bonding
34,,"Culture can be defined as:	
	a. values a group shares and learns from other members of the group	
	b. attitudes, beliefs, art, and language specific to a group	
	c. customs shared by a group which are different from those in another group	
	d. All of the above	",d. All of the above
35,,"Cultural norms:	
	a. measure conduct	
	b. describe how people belonging to a certain group are supposed to act	
	c. show how to interact with someone from another culture	
	d. were first described by Freud	",b. describe how people belonging to a certain group are supposed to act
36,,"Talking about difficulties to purge them is a curative process known as:	
	a. Catharsis	
	b. Problem solving	
	c. Release	
	d. Sounding off	","	a. Catharsis"
37,,"Which theorist spoke of social connectedness?	
	a. Freud	
	b. Jung	
	c. Adler	
	d. Skinner",c. Adler
38,,"	The difference between open and closed groups is:	
	a. In an open group, confidentiality is valued less than in a closed group.	
	b. Group members are allowed to drop out of an open group, but not a closed group.	
	c. Group members need to be screened for closed groups, but not for open groups.	
	d. No new members can join a closed group, whereas new members can join an open group at any time once they've been screened.","d. No new members can join a closed group, whereas new members can join an open group at any time once they've been screened."
39,,"An advantage of having coleaders for a group is:	
	a. If one leader is unable to be there for the meeting, it does not have to be canceled.	
	b. The leaders can process their own feelings with each other in between sessions.	
	c. The leaders can be more observant of group dynamics.	
	d. All of the above",d. All of the above
40,,"Which theorist believed a person's personality needs to be congruent with their work environment?	
	a. Holland	
	b. Parsons	
	c. Freud	
	d. Moreno","	a. Holland"
41,,"Which person is associated with the beginning of the guidance movement?	
	a. Adler	
	b. Parsons	
	c. Freud	
	d. Ellis","	b. Parsons"
42,,"What does RIASEC stand for?	
	a. Realistic, Instigating, Artistic, Social, Enterprising, Conventional	
	b. Realistic, Investigative, Artistic, Social, Enterprising, Conventional	
	c. Reformed, Investigative, Artistic, Social, Enterprising, Conventional	
	d. Realistic, Inquiring, Artistic, Social, Enterprising, Committed","b. Realistic, Investigative, Artistic, Social, Enterprising, Conventional"
43,,"Which is NOT an example of a Computer Assisted Career Guidance System (CACGS)?	
	a. SIGI Plus	
	b. Choices	
	c. Indeed	
	d. Discover	","	c. Indeed"
44,,"Most ethical dilemmas are related to:	
	a. family members	
	b. confidentiality	
	c. money	
	d. mental illness",b. confidentiality
45,,"One of your clients who is a minor comes into your office with visible bruising and you suspect abuse. You should:	
	a. Call the child abuse hotline to report the incident.	
	b. Tell his parents to stop abusing him.	
	c. Try to prove it.	
	d. Ask lots of questions to lead your client to confide the abuse to you.",a. Call the child abuse hotline to report the incident.
46,,"Which test measures key personality factors?	
	a. WISC	
	b. WAIS	
	c. MBTI	
	d. 16PF	","	d. 16PF"
47,,"The most valuable type of research is the:	
	a. correlational study	
	b. experiment	
	c. survey	
	d. descriptive narrative","	b. experiment"
48,,"A man comes to you and has been through a series of traumatic events. You have no training or experience in helping clients overcome trauma. Ethically, you should:	
	a. continue meeting with him and 'learn as you go'.	
	b. tell him you can't help him.	
	c. refer the client to a therapist who has the proper qualifications.	
	d. ask him to tell you all the details.","	c. refer the client to a therapist who has the proper qualifications."
49,,"A client diagnosed with posttraumatic stress disorder is close to discharge. Which client statement would indicate that teaching about the psychosocial cause of posttraumatic stress disorder was effective?
a. “I understand that the event I experienced, and how I deal with it, and my support system, all affect my disease process.”
b. “I have learned to avoid stressful situations as a way to decrease emotional pain.”
c. “So, natural opioid release during the trauma caused my body to become ‘addicted.’”
d. “Because of the trauma, I have a negative perception of the world and feel hopeless.""","a. “I understand that the event I experienced, and how I deal with it, and my support system, all affect my disease process.”"
50,,"A client diagnosed with social phobia has an outcome that states, “Client will voluntarily participate in group activities with peers by day 3.” Which would be an appropriate intrapersonal intervention by the nurse to assist the client to achieve this outcome?
a. Offer PRN lorazepam (Ativan) 1 hour before group begins.
b. Attend group with client to assist in decreasing anxiety.
c. Encourage discussion about fears related to socialization.
d. Role-play scenarios that may occur in group to decrease anxiety.",c. Encourage discussion about fears related to socialization.
51,,"Using psychodynamic theory, which intervention would be appropriate for a client diagnosed with panic disorder?
a. Encourage the client to evaluate the power of distorted thinking.
b. Ask the client to include his or her family in scheduled therapy sessions.
c. Discuss the overuse of ego defense mechanisms and their impact on anxiety.
d. Teach the client about the effect of blood lactate level as it relates to the client’s panic attacks.",c. Discuss the overuse of ego defense mechanisms and their impact on anxiety.
52,,"In which situation would the nurse suspect a medical diagnosis of social phobia?
a. A client abuses marijuana daily and avoids social situations because of fear of humiliation.
b. An 8-year-old child isolates from adults because of fear of embarrassment, but has good peer relationships in school.
c. A client diagnosed with Parkinson’s disease avoids social situations because of embarrassment regarding tremors and drooling.
d. A college student avoids taking classes that include an oral presentation because of fear of being scrutinized by others.",d. A college student avoids taking classes that include an oral presentation because of fear of being scrutinized by others.
53,,"A client leaving home for the first time in a year arrives in the psychiatric in-patient unit wearing a surgical mask and white gloves and crying, “The germs in here are going to kill me.” Which nursing diagnosis addresses this client’s problem?
a. Social isolation R /T fear of germs AEB continually refusing to leave the home.
b. Fear of germs R /T obsessive-compulsive disorder, resulting in dysfunctional isolation.
c. Ineffective coping AEB dysfunctional isolation R /T unrealistic fear of germs.
d. Anxiety R /T the inability to leave home, resulting in dysfunctional fear of germs.",a. Social isolation R /T fear of germs AEB continually refusing to leave the home.
54,,"The nurse has received the evening report. Which client would the nurse need to assess first?
a. A newly admitted client with a history of panic attacks.
b. A client who slept 2 to 3 hours last night because of flashbacks.
c. A client pacing the halls and stating that his anxiety is an 8/10.
d. A client diagnosed with generalized anxiety disorder awaiting discharge.",c. A client pacing the halls and stating that his anxiety is an 8/10.
55,,"A client diagnosed with obsessive-compulsive disorder has been hospitalized for the last 4 days. Which intervention would be a priority at this time?
a. Notify the client of the expected limitations on compulsive behaviors.
b. Reinforce the use of learned relaxation techniques.
c. Allow the client the time needed to complete the compulsive behaviors.
d. Say “stop” to the client as a thought-stopping technique.",b. Reinforce the use of learned relaxation techniques.
56,,"During an intake assessment, a client diagnosed with generalized anxiety disorder rates mood at 3/10, rates anxiety at 8/10, and states, “I’m thinking about suicide.” Which nursing intervention takes priority?
a. Teach the client relaxation techniques.
b. Ask the client, “Do you have a plan to commit suicide?”
c. Call the physician to obtain a PRN order for an anxiolytic medication.
d. Encourage the client to participate in group activities.","b. Ask the client, “Do you have a plan to commit suicide?”"
57,,"Which teaching need is important when a client is newly prescribed buspirone (BuSpar) 5 mg tid?
a. Encourage the client to avoid drinking alcohol while taking this medication because of the additive central nervous system depressant effects.
b. Encourage the client to take the medication continually as prescribed because onset of action is delayed 2 to 3 weeks.
c. Encourage the client to monitor for signs and symptoms of anxiety to determine need for additional buspirone (BuSpar) PRN.
d. Encourage the client to be compliant with monthly lab tests to monitor for medication toxicity.",b. Encourage the client to take the medication continually as prescribed because onset of action is delayed 2 to 3 weeks.
58,,"A nurse is assessing a client in the mental health clinic. The client has a long history of being a loner and has few social relationships. This client’s father has been diagnosed with schizophrenia. The nurse would suspect that this client is in what phase in the development of schizophrenia?
a. Phase I—schizoid personality.
b. Phase II—prodromal phase.
c. Phase III—schizophrenia.
d. Phase IV—residual phase.",a. Phase I—schizoid personality.
59,,"The nurse is assessing a client diagnosed with disorganized schizophrenia. Which symptoms should the nurse expect the client to exhibit?
a. Markedly regressive, primitive behavior, and extremely poor contact with reality. Affect is flat or grossly inappropriate. Personal appearance is neglected, and social impairment is extreme.
b. Marked abnormalities in motor behavior manifested in extreme psychomotor retardation with pronounced decreases in spontaneous movements and activity. Waxy flexibility is exhibited.
c. The client is exhibiting delusions of persecution or grandeur. Auditory hallucinations related to a persecutory theme are present. The client is tense, suspicious, and guarded, and may be argumentative, hostile, and aggressive.
d. The client has a history of active psychotic symptoms, but prominent psychotic symptoms are currently not exhibited.","a. Markedly regressive, primitive behavior, and extremely poor contact with reality. Affect is flat or grossly inappropriate. Personal appearance is neglected, and social impairment is extreme."
60,,"The nurse is performing an admission assessment on a client diagnosed with paranoid schizophrenia. To receive the most accurate assessment information, which should the nurse consider?
a. This client will be able to make a significant contribution to history data collection.
b. Much data will need to be gained by reviewing old records and talking with family members and significant others.
c. Assessment of this client will be simple because of the commonly occurring nature of the disease process of schizophrenia.
d. The nurse will refer to the client’s global assessment of functioning score to determine client problems and nursing interventions.",b. Much data will need to be gained by reviewing old records and talking with family members and significant others.
61,,"The nurse is reviewing lab results for a client diagnosed with a thought disorder who is taking clozapine (Clozaril) 25 mg QD. The following values are documented: RBC 4.7 million/mcL, WBC 2000/mcL, and TSH 1.3 mc-IU. Which would the nurse expect the physician to order based on these values?
a. “Levothyroxine sodium (Synthroid) 150 mcg QD.”
b. “Ferrous sulfate (Feosol) 100 mg tid.”
c. “Discontinue clozapine (Clozaril).”
d. “Discontinue clozapine (Clozaril) and start levothyroxine sodium (Synthroid) 150 mcg QD.”",c. “Discontinue clozapine (Clozaril).”
62,,"The client has a long history of schizophrenia, which has been controlled by haloperidol (Haldol). During an admission assessment resulting from an exacerbation of the disease, the nurse notes continuous restlessness and fidgeting. Which medication would the nurse expect the physician to prescribe for this client?
a. Haloperidol (Haldol).
b. Fluphenazine decanoate (Prolixin Decanoate).
c. Clozapine (Clozaril).
d. Benztropine mesylate (Cogentin)",d. Benztropine mesylate (Cogentin)
63,,"According to Piaget's stages of moral judgment, a child younger than age ten will think which of the following is worse?	
	a. Someone who was trying to help his mother set the table and broke five dishes.	
	b. Someone who was stealing a cookie from the cookie jar when he wasn't allowed, and knocked over a cup that broke.	
	c. Someone who did not control the dog who jumped up on the table and pulled down a glass full of water, which broke.	
	d. Someone who accidentally dropped a dinner knife which could have hurt someone if they would have stepped on it.",a. Someone who was trying to help his mother set the table and broke five dishes.
64,,"How many stages are there of moral reasoning, according to Kohlberg?	
	a. Two	
	b. Six	
	c. Eight, paralleling Erikson's stages of psycho-social development	
	d. None; Kohlberg's theory is on self-actualization	",b. Six
65,,"Which of the following is not a factor in the sleep patterns of adolescents?	
	a. Biorhythm changes	
	b. Defiance	
	c. Increased need for sleep	
	d. Increased academic and social demands",b. Defiance
66,,"A college student viewing a situation as good or bad or right or wrong is using:	
	a. Dualistic Thinking	
	b. Pessimism	
	c. Relativistic Thinking	
	d. Erroneous Thinking",a. Dualistic Thinking
67,,"Which theorist believed in the zone of proximal development (ZPD)?	
	a. Piaget	
	b. Kohlberg	
	c. Vygotsky	
	d. Erickson",c. Vygotsky
68,,"When present in females, the Oedipus Complex is referred to as the:	
	a. Electra Complex	
	b. Feelings of Reciprocity	
	c. Electric Complex	
	d. Oedipa Complex	",a. Electra Complex
69,,"Kohlberg's theory of moral development has three progressive levels ending in:	
	a. personhood	
	b. sexual ambiguity	
	c. principled thought	
	d. self-realization",c. principled thought
70,,"Cross-cultural counseling:	
	a. Recognizes culture as a marginal factor in counseling.	
	b. Recognizes culture as a fundamental factor in counseling.	
	c. Is a consideration in some but not all counseling interventions.	
	d. All of the above",b. Recognizes culture as a fundamental factor in counseling.
71,,"Most behaviors are learned and displayed in a cultural context.	
	a. True	
	b. False",a. True
72,,"Which of the following is true about counseling within a cultural context?	
	a. Behaviors cannot be measured as accurately.	
	b. Personal identity becomes more clearly defined.	
	c. The consequences of problems are more ambiguous.	
	d. Counseling interviews hold less meaning.	","	b. Personal identity becomes more clearly defined."
73,,"In the United States, each socioeconomic group represents a different culture because they share:	
	a. similar tastes in the arts	
	b. educational levels	
	c. interest in religion	
	d. similar ideas, behaviors, and values","d. similar ideas, behaviors, and values"
74,,"Therapists adhering to which of the following theories would believe that aggression is learned through modeling?	
	a. Social Learning	
	b. Behavioral	
	c. Psychodynamic	
	d. Humanistic",a. Social Learning
75,,"Which is true about Freud's idea of the preconscious mind:	
	a. It contains only hidden or forgotten memories.	
	b. It contain only what is happening in the present.	
	c. It's our mind's state before we're born.	
	d. It contains both hidden memories and what is happening.	",d. It contains both hidden memories and what is happening.
76,,"Nathan has been working on cutting down on drinking. He tells you he passed a state store and 'found my car pulling itself into the lot.' He denies giving much conscious thought to it. Nathan is describing the workings of:	
	a. The superego	
	b. The id	
	c. The ego	
	d. The conscious mind","	b. The id"
77,,"________________ results when ideal standards are violated. According to Freud, this is a function of the __________________.	
	a. Guilt, ego	
	b. Anger, ego	
	c. Guilt, superego	
	d. Shame, id","c. Guilt, superego"
78,,"A counselor sets her monthly fees for consulation on a job-by-job basis. Which of the following reinforcement schedules is this an example of?	
	a. variable ratio	
	b. fixed ratio	
	c. fixed interval	
	d. variable interval",a. variable ratio
79,,"Suppression and repression are different because:	
	a. suppression is involuntary	
	b. repression is involuntary	
	c. they are not different	
	d. repression is voluntary",b. repression is involuntary
80,,"When a client becomes aware of a factor in his or her life which they were previously unaware, counselors refer to it as:	
	a. Aha! moment	
	b. deeper understanding	
	c. insight	
	d. Both a and c","	d. Both a and c"
81,,"A counselor who chooses their theory and techniques in order to match the client's attributes, resources, and situation is called:	
	a. eccentric	
	b. eclectic	
	c. holistic	
	d. informal","	b. eclectic"
82,,"One of the first formal therapeutic groups was held by:	
	a. Joseph Pratt	
	b. Carl Rogers	
	c. Irv Yalom	
	d. Wilfred Bion","	a. Joseph Pratt"
83,,"Of the following, which is NOT a curative factor of group, as outlined by Yalom?	
	a. Universality	
	b. Instillation of hope	
	c. Intrapersonal learning	
	d. Group cohesiveness",c. Intrapersonal learning
84,,"Jerry hears a fellow group member say, ""I am really struggling with this divorce. I can't see my way to the other side sometimes. It seems like I'll never feel better."" Jerry just experienced a relationship break-up himself, which spun him into a depression. Though the group member's situation is unfortunate, Jerry feels a little better hearing about it. Jerry is experiencing which curative factor of group therapy?	
	a. Imitative behavior	
	b. Imparting information	
	c. Instillation of hope	
	d. Universality	",d. Universality
85,,"What are the three levels of social groups?	
	a. Primary, secondary, and tertiary	
	b. High, medium, and low	
	c. First, second, and third	
	d. Small, medium, and large","a. Primary, secondary, and tertiary"
86,,"The fact that a group decision will be less conservative than a decision made by an individual can be explained by which of the following concepts?	
	a. Bystander apathy	
	b. Risky shift phenomenon	
	c. Skepticism	
	d. Conditioning	","	b. Risky shift phenomenon"
87,,"Which is the correct order of Tucker & Jensen's stages of group development?	
	a. performing, forming, storming, norming, adjourning	
	b. norming, forming, storming, performing, adjourning	
	c. forming, storming, norming, performing, adjourning	
	d. forming, norming, storming, performing, adjourning","c. forming, storming, norming, performing, adjourning"
88,,"Which career theorist talked about life roles?	
	a. Ginzberg	
	b. Holland	
	c. Parsons	
	d. Super",d. Super
89,,"Holland's trait-factor theory matched which of the following together?	
	a. Gender traits with personality traits	
	b. Professional traits with earning power	
	c. Personality traits with job requirements	
	d. Personality traits with intelligence level",c. Personality traits with job requirements
90,,"Jeremy, during intake, told you that he really enjoys his job as a watch repair man. His strong Interest Inventory would probably indicate a high score in which of the following?	
	a. Investigative	
	b. Conventional	
	c. Realistic	
	d. Social",c. Realistic
91,,"A counselor has designed his career counseling group in such a way that it presents a ""field and levels"" approach to careers. Whose theory is he following?	
	a. Holland	
	b. Super	
	c. Tiedeman	
	d. Roe",d. Roe
92,,"What do dual career families often lack?	
	a. Money	
	b. Health insurance	
	c. Leisure	
	d. Pets","	c. Leisure"
93,,"Developmental career theorists view career choice as:	
	a. stable	
	b. fixed	
	c. ongoing	
	d. optimistic",c. ongoing
94,,"Which is NOT one of the original 3 stages of career development identified by Ginzberg and his associates?	
	a. Exploratory	
	b. Fantasy	
	c. Tentative	
	d. Realistic","	a. Exploratory"
95,,"This publication provides key information about a job, including training needed, salary, job outlook, etc.	
	a. NBCC	
	b. ACA	
	c. ASCA	
	d. OOH",d. OOH
96,,"Your patient enters your session excited about the New Age therapy you tried last session. She had brought in an article, and because of her enthusiasm and the fact that it did not require any new training, you had agreed to give it a try. She asks you to continue during this session, but you have done your homework: it's been proven ineffective and, in a select few clients, the condition was slightly worsened. You validate your patient, noting how glad you are that she's excited to try something new. Then you tell her that, unfortunately, you won't be able to continue with these types of treatments. With this act, you are expressing:	
	a. Anti-Consumerism	
	b. Beneficence	
	c. Exploitation	
	d. Non-Malfeasance",d. Non-Malfeasance
97,,"You have just launched a successful therapy group, and want to promote it to engage new clients so they, too, can benefit. You have asked your current therapy clients to offer an anonymous testimonial, telling others how useful it has been. From an ethical standpoint, this is _____________.	
	a. prohibited under any circumstances	
	b. allowed since it is a successful group that would benefit future clients that may join	
	c. allowed, only if they sign a voluntary testimonial release	
	d. prohibited unless they sign a voluntary testimonial release, use a pseudo-name and do not provide a photo",a. prohibited under any circumstances
98,,"You are a licensed professional counselor with a Master's degree in Counseling and a doctorate (PhD) in Technology and Operations Management. On your appointment cards for clients, the most appropriate way to list yourself is:	
	a. Jane Doe, MA, LPC	
	b. Dr. Jane Doe, LPC	
	c. Jane Doe, PhD	
	d. Dr. Jane Doe, PhD, LPC","a. Jane Doe, MA, LPC"
99,,"It is ________ to administer a test to a client from a certain population when the test has not been normed to that population.	
	a. appropriate	
	b. unethical	
	c. illegal	
	d. unfair",b. unethical
100,,"Nosology, the process of formal diagnosis, is most closely related to:	
	a. sampling	
	b. individualized education plans (IEP)	
	c. psychoanalysis	
	d. the medical model","	d. the medical model"
101,,"Your supervisor suggests that you give your client a Beck's Depression Inventory (BDI) Test. This is a(n) ____________________.	
	a. aptitude test	
	b. intelligence test	
	c. self-report test	
	d. achievement test","	c. self-report test"
102,,"Self-report tests like the BDI:	
	a. Consistently and accurately measure its intended criterion regardless of internal or environment factors	
	b. Depend much on the present state of the person taking it	
	c. May not always be accurate	
	d. Both b and c",d. Both b and c
103,,"Which of the following is not considered a subjective test?	
	a. Rorschach	
	b. TAT	
	c. WISC-III	
	d. None; all are subjective",c. WISC-III
104,,"Ipsative measures:	
	a. compare traits within the same individual.	
	b. compare traits of people who took the assessment.	
	c. contrast traits with other personality factors.	
	d. show what a client needs to improve.",a. compare traits within the same individual.
105,,"Personality tests or interest inventories measure:	
	a. goals	
	b. maximum performance	
	c. typical performance	
	d. academic potential",c. typical performance
106,,"Reliability tells:	
	a. if a test measures what it says it measures.	
	b. how consistently a test measures an attribute.	
	c. if the client can be trusted.	
	d. where the counseling process should focus.	",b. how consistently a test measures an attribute.
107,,"When you see the letter P in relation to a test of significance, it means:	
	a. Probability	
	b. Possibility	
	c. Positive	
	d. Psychoanalysis",a. Probability
108,,"An operational definition:	
	a. is deductive logic	
	b. can be measured on a Likert Scale	
	c. outlines a procedure	
	d. describes the purpose of an experiment","	c. outlines a procedure"
109,,"Which of the following are not included as a concept in deductive reasoning?	
	a. Minor premise	
	b. Obvious conclusion	
	c. Medium premise	
	d. Major premise	",c. Medium premise
110,,"Using deductive reasoning to gain knowledge has been called:	
	a. Qualitative research	
	b. Quantitative research	
	c. Syllogism	
	d. Cross section research	",c. Syllogism
111,,"Joannie is a part of a research experiment monitoring energy level and depression. She becomes pregnant and tells you that she has been very fatigued. Her tiredness is:	
	a. A dependent variable	
	b. An intervening variable	
	c. A correlate	
	d. All of the above",b. An intervening variable
112,,"A(n) _______ is a form of descriptive research and requires a return rate of 50-57% to be accurate.	
	a. Case study	
	b. Observation	
	c. Survey	
	d. Analysis",c. Survey
